iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
170,0,19,1692.34,19,1731.15,2,1,0,347.607,0.329903,0.259904,0.237147,0.173046,0.208217,0.409692,0.218847,0.163244
171,0,19,1692.34,19,1771.2,1,3,9,347.434,0.342609,0.269902,0.207802,0.179687,0.225394,0.361001,0.236903,0.176702
172,0,19,1692.34,19,1771.2,3,1,0,347.26,0.341955,0.27134,0.207384,0.179321,0.223121,0.357394,0.234516,0.184969
173,0,19,1692.34,19,1777.25,0,2,9,347.086,0.350085,0.277779,0.212294,0.159842,0.238712,0.312494,0.250906,0.197887
174,0,19,1692.34,19,1777.25,2,3,0,346.913,0.346341,0.279392,0.213515,0.160752,0.238083,0.311687,0.252873,0.197357
175,0,19,1692.34,19,1777.25,2,3,0,346.739,0.357267,0.288193,0.188742,0.165798,0.244904,0.320635,0.260121,0.174339
176,0,19,1692.34,19,1777.25,0,3,0,346.566,0.366253,0.295429,0.168376,0.169942,0.250494,0.327971,0.266062,0.155473
177,0,19,1692.34,19,1777.25,1,1,0,346.393,0.320608,0.316725,0.180494,0.182172,0.255095,0.334012,0.270951,0.139942
178,0,19,1692.34,19,1777.25,3,2,0,346.219,0.339919,0.275614,0.191343,0.193123,0.271381,0.291508,0.288253,0.148858
179,0,19,1692.34,19,1777.25,2,3,0,346.046,0.34887,0.28286,0.196359,0.171911,0.285846,0.307051,0.250329,0.156774
180,0,19,1692.34,19,1856.63,1,1,9,345.873,0.358159,0.290379,0.174999,0.176464,0.291296,0.312909,0.255095,0.140701
181,0,19,1692.34,19,1796.62,2,1,13,345.7,0.357268,0.292194,0.174538,0.176,0.291991,0.311295,0.255697,0.141016
182,0,19,1692.34,19,1785.69,0,1,13,345.528,0.347996,0.284599,0.195997,0.171408,0.285035,0.327729,0.249599,0.137637
183,0,19,1692.34,19,1785.69,1,0,0,345.355,0.364239,0.277523,0.191109,0.167129,0.278036,0.344263,0.243464,0.134238
184,0,19,1692.34,19,1785.69,0,2,0,345.182,0.381082,0.244168,0.19992,0.17483,0.244161,0.360437,0.254884,0.140518
185,0,19,1692.34,19,1785.69,3,1,0,345.01,0.335086,0.262322,0.214776,0.187816,0.253864,0.374791,0.225258,0.146087
186,0,19,1692.34,19,1814.58,1,0,9,344.837,0.34345,0.268856,0.220117,0.167577,0.272121,0.329853,0.241451,0.156575
187,0,19,1692.34,19,1814.58,3,0,0,344.665,0.342093,0.271788,0.219228,0.166891,0.27466,0.32872,0.240607,0.156014
188,0,19,1692.34,19,1814.58,1,3,0,344.492,0.348942,0.277216,0.223597,0.150245,0.24113,0.343934,0.251727,0.16321
189,0,19,1692.34,19,1814.58,1,3,0,344.32,0.365089,0.243818,0.233923,0.157171,0.245618,0.350361,0.256415,0.147606
190,0,19,1692.34,19,1794.31,0,3,13,344.148,0.37846,0.216171,0.242469,0.1629,0.249349,0.355709,0.260312,0.134629
191,0,19,1692.34,19,1794.31,0,3,0,343.976,0.395917,0.210101,0.235665,0.158316,0.243134,0.346867,0.253826,0.156174
192,0,19,1692.34,19,1784.1,0,2,13,343.804,0.349659,0.226191,0.253719,0.170431,0.247281,0.352809,0.258158,0.141752
193,0,19,1692.34,19,1784.1,3,2,0,343.632,0.367151,0.220108,0.246902,0.165838,0.240213,0.342748,0.279355,0.137685
194,0,19,1692.34,19,1784.1,0,3,0,343.46,0.373986,0.224183,0.251478,0.150353,0.251373,0.358698,0.245863,0.144066
195,0,19,1692.34,19,1784.1,0,0,0,343.288,0.329403,0.240151,0.269396,0.16105,0.254946,0.363822,0.249356,0.131876
